"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Central African Republic","CAF","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","2.98638759984463","3.07271213884282","3.13999503781589","4.6309984009141","7.41207374897392","9.88304803155138","7.70935356283833","5.23385182170173","8.23988848275404","7.09473915313451","10.6479408481942","15.0880286102197","21.5301612644863","13.5021273449738","15.7578279487596","11.4289430715412","11.9725668774661","12.7366975324176","23.0304532795564","26.9236282515038","30.2668938663165","42.0200350242023","51.5976561480657","56.2620047318612","57.8811498611493","84.3863833692113","60.3466343302739","58.9577456912909","56.5634057933025","68.8127863360994","79.4563897128041","93.7751701558359","118.802581360749","96.7701047198619","96.9607894635386","86.8612403674964","82.1866694667089","73.7255136551287","71.6767723353985","74.4172189096838","70.4187935577419","75.482371926819","77.6193571040358","79.6169731403107","82.1554373025011","118.021314359756","109.089676072261","104.060418036039","",
"Central Europe and the Baltics","CEB","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3499721503591","3.6659839302675","2.3584061627012","4.7505995853841","4.78499167618525","4.26632153122058","4.40098171824314","7.8779804780077","4.03771174931781","3.60048673507624","4.44556621629281","7.19564827999928","10.4055771847764","12.8104653664581","16.391599678425","8.34055943822358","9.55537317416744","9.8615018603499","8.41382610137399","7.28243686926196","7.5317432408788","6.03649627835991","7.16321248804222","6.33187112239572","8.30176709846718","5.30769646784628","4.52824810993176","7.16990265751113","5.7857897780408","5.01220223067332","",
"Switzerland","CHE","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","64.5957839088215","66.7397476914529","","110.585169769783","119.269770845119","193.363968703185","82.0586867652089","214.203059370917","180.278682712829","198.831270766945","150.706582535975","27.3376597015284","25.8643188122241","68.7397332812408","84.835820213618","90.4434851179009","122.081965923926","183.280511939205","226.748281470928","156.190875033313","227.099465317514","204.685993405491","158.667989996216","123.916761113688","10.8572444637268","13.543016881604","18.4015194268617","256.604528620315","249.047732110442","139.047497383063","146.1746256992","115.647469086647","86.2427215003001","99.0583717939921","101.035026887204","137.616231463725","121.710067022521","136.41196379986","129.325608644557","133.870934167074","176.240405236939","104.949062932423","105.713185841998","",
"Channel Islands","CHI","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17360759493671","0.535117810150376","0.959424018475751","0.705167071524966","0.115517145401915","0.146370376712329","0.0311534500514933","0.00806103822019395","0.000868462206776716","","","","","","","","","","","","","","","","",
"Chile","CHL","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","2.59326901472207","1.30107675093161","1.13163347834412","0.525488226838514","0.508342716583153","0.812748308148842","3.99531979635558","5.68970105315545","5.85579651389049","6.27656947715312","4.75891224534303","4.67375998752999","4.18101493857163","5.35899874510057","9.2954912671194","15.0943228548407","1.37232597173957","8.66279146253587","5.24338265348678","8.62933767169682","7.35726109318135","5.68792848580563","3.78828170744732","9.88680213844406","13.2035728988483","16.7224603963285","18.078220221121","26.1825951004684","16.0495928652571","21.5592400801545","26.6873979660122","20.3938678672779","17.4110768071531","14.8621955062392","10.4525996806222","8.11488600741491","9.61445242244009","13.7937655793767","15.462616389779","13.619630833326","16.3097436418557","13.2291986597116","13.6852579176191","",
"China","CHN","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.45526228740756","12.0804465490467","10.5555344849306","35.6282887587911","38.587160523532","27.6358709296368","","62.1285755113508","34.5512311499509","22.9986358501838","23.3696552930369","26.1588347485284","17.1641893396322","42.1126875092676","177.601855373132","84.9972002947269","153.49374254767","135.657667502003","88.3790584342316","58.9204164595924","80.4138158932711","114.16339553583","355.519219065579","162.864309406559","139.907738522409","94.0678583380764","127.797372536374","215.033283123151","226.481216828059","180.717522668976","",
"Cote d'Ivoire","CIV","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0969436018267928","0.399661015060959","0.199004268165337","0.0511583894115028","0.0968739816618287","0.114390556269879","0.213393328634433","0.145442934714322","0.423394051845175","0.571486371276319","0.856440936415219","0.710010700615222","0.649782456207113","0.317711121019386","0.479859365237342","0.859139328221556","0.816862097018555","1.1390373046","","","","0.251742615922866","0.268486134179193","","","",
"Cameroon","CMR","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
